bbox,cessation,country_id,deprecated,file_hash,fullname,geom_hash,geom_latitude,geom_longitude,id,inception,iso,iso_country,lastmodified,lbl_latitude,lbl_longitude,locality_id,name,parent_id,path,placetype,region_id,source,superseded_by,supersedes,wof_country
"-74.412882,41.663459,-74.313653,41.731271",uuuu,85633793,,08aa0153d30d40d2a7418caf186fc82c,,f9f0288b21dedb2fb0bd7c98ad82f1a2,41.700853,-74.360945,85977503,uuuu,US,US,1467243955,41.705659,-74.360229,85977503,Ellenville,404523275,859/775/03/85977503.geojson,locality,85688543,quattroshapes,,,US
"-73.689129,40.713852,-73.681329,40.725347",uuuu,85633793,,84c39a98af5c2aae3048cc134569f603,,1e92799419cfa43342f9b2a376857789,40.720172,-73.685300,85977601,uuuu,US,US,1467244239,40.720123,-73.685616,85977601,Stewart Manor,404521473,859/776/01/85977601.geojson,locality,85688543,quattroshapes,,,US
"-73.754042,40.789574,-73.742981,40.80002",uuuu,85633793,,e660b50038b72e3ff6149433747d310d,,9d2a73fe9eff26c0c2e9a927cb225215,40.794796,-73.749226,85977605,uuuu,US,US,1479655508,40.794802,-73.749552,85977605,Saddle Rock,404522729,859/776/05/85977605.geojson,locality,85688543,quattroshapes,,,US
"-74.044629,41.902063,-73.953709,41.952748",uuuu,85633793,,943fd7b12d9b044c58cbb25851a7d735,,093a67926588db44af6f5ac21ba91dcf,41.929513,-73.996793,85977505,uuuu,US,US,1467244142,41.927923,-73.997477,85977505,Kingston,404523249,859/775/05/85977505.geojson,locality,85688543,quattroshapes,,,US
"-74.099165,41.731487,-74.05961,41.763465",uuuu,85633793,,795ea9fb52d74c0472aed6880f02a0f4,,cd5a82238f2d6002b2b0e1ebd8a96afe,41.749435,-74.081138,85977507,uuuu,US,US,1467243955,41.745037,-74.084104,85977507,New Paltz,404523257,859/775/07/85977507.geojson,locality,85688543,quattroshapes,,,US
"-73.971314,42.063384,-73.926186,42.088954",uuuu,85633793,,19d02f1dfd1034376eb5948d7432dfdc,,977daf03d08671fc3450c5041823528a,42.075034,-73.948391,85977509,uuuu,US,US,1479655533,42.074281,-73.949926,85977509,Saugerties,404523269,859/775/09/85977509.geojson,locality,85688543,quattroshapes,,,US
"-74.453725,41.543023,-74.428662,41.560371",uuuu,85633793,,3ee84c5d87a8464d57e9d7c1e77ed9ef,,4bcd6c67758d8ad38dd97196787594ac,41.552013,-74.443778,85977511,uuuu,US,US,1467244509,41.554884,-74.445863,85977511,Bloomingburg,404523197,859/775/11/85977511.geojson,locality,85688543,quattroshapes,,,US
"-74.501341,41.565506,-74.470343,41.587508",uuuu,85633793,,60fc60c78b6463cef2e934e328fa7597,,547989e9fdbdac35a160be965f71ab66,41.576326,-74.485847,85977515,uuuu,US,US,1467244509,41.576290,-74.485844,85977515,Wurtsboro,404523197,859/775/15/85977515.geojson,locality,85688543,quattroshapes,,,US
"-74.592888,41.698846,-74.549908,41.726982",uuuu,85633793,,37839156b8f3991a5afdc2f49aad6e9e,,bc55dc28dff808541eb4f66930eaddf2,41.712165,-74.573885,85977517,uuuu,US,US,1467244449,41.711865,-74.576006,85977517,Woodridge,404523185,859/775/17/85977517.geojson,locality,85688543,quattroshapes,,,US
"-74.727513,41.633754,-74.638557,41.673576",uuuu,85633793,,2806e90260a087f146b066d1b65e7ad7,,67d674fa88279acf0d05eb710b9293d6,41.651608,-74.686805,85977519,uuuu,US,US,1479848709,41.654732,-74.686845,85977519,Monticello,404523203,859/775/19/85977519.geojson,locality,85688543,quattroshapes,,,US
"-74.769819,41.774156,-74.711093,41.812996",uuuu,85633793,,d3dd2d479824e50d445c3362ca6d6edd,,c090008b3bf3427e9cf0a2116c08ad01,41.796447,-74.743452,85977521,uuuu,US,US,1467244739,41.801420,-74.748428,85977521,Liberty,404521637,859/775/21/85977521.geojson,locality,85688543,quattroshapes,,,US
"-74.941071,41.774836,-74.918195,41.78719",uuuu,85633793,,a3216865cfc32d0f6b4be74c34aa8c48,,e2cf2a41e4a7f4bd6278d2a20e5a22a7,41.779930,-74.930046,85977523,uuuu,US,US,1467245103,41.779879,-74.930046,85977523,Jeffersonville,404521635,859/775/23/85977523.geojson,locality,85688543,quattroshapes,,,US
"-76.565902,42.191167,-76.542406,42.203917",uuuu,85633793,,1c3a5672bd7e7178e34e48471d16a3fb,,1bb10fb0b6ece2f0f3e3c3fff03bcfe5,42.197500,-76.554198,85977525,uuuu,US,US,1467245103,42.197337,-76.554200,85977525,Van Etten,404522121,859/775/25/85977525.geojson,locality,85688543,quattroshapes,,,US
"-76.349262,43.133497,-76.306565,43.180095",uuuu,85633793,,024814f0de77f4d849a7793ddad1165b,,68f499db054d77f9d9b021a9921e3c72,43.156999,-76.332054,85977805,uuuu,US,US,1467245188,43.157268,-76.332376,85977805,Baldwinsville,404522835,859/778/05/85977805.geojson,locality,85688543,quattroshapes,,,US
"-73.658038,42.237374,-73.633851,42.257363",uuuu,85633793,,c72029ff5a1102b033f43de4905530a8,,4ed46ec30e5a24d64528195321f98afc,42.247679,-73.646321,85977807,uuuu,US,US,1467245201,42.248019,-73.646551,85977807,Philmont,404522069,859/778/07/85977807.geojson,locality,85688543,quattroshapes,,,US
